MsgID.LOCAL_POSITION,19.5140000,-0.1028952,0.1434977,-0.2060785
MsgID.LOCAL_VELOCITY,19.5140000,0.0000211,-0.0000036,0.0000206
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924787,0.1840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.7640000,-0.1377975,0.0699173,-0.1848342
MsgID.LOCAL_VELOCITY,19.7640000,0.0000112,-0.0000002,0.0000119
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.1390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.0150000,-0.0096194,-0.0005891,-0.1391195
MsgID.LOCAL_VELOCITY,20.0150000,0.0000342,-0.0000324,0.0000246
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924808,0.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.2650000,0.0893970,0.0012075,-0.0874419
MsgID.LOCAL_VELOCITY,20.2650000,-0.0000271,0.0000033,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924812,0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.5150000,0.1375232,0.1041167,-0.0261193
MsgID.LOCAL_VELOCITY,20.5150000,-0.0000152,0.0000163,0.0000183
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924798,-0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.7650000,-0.0139607,0.1826321,0.0202656
MsgID.LOCAL_VELOCITY,20.7650000,-0.0000114,-0.0000120,0.0000117
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924787,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.0150000,-0.1392769,0.0087193,0.0550625
MsgID.LOCAL_VELOCITY,21.0150000,-0.0000217,-0.0000034,0.0000026
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924797,-0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.2650000,-0.0317796,-0.0009385,0.0668396
MsgID.LOCAL_VELOCITY,21.2650000,0.0000085,0.0000104,0.0000067
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924812,-0.0590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.5150000,0.1404454,0.0846269,0.0598461
MsgID.LOCAL_VELOCITY,21.5150000,0.0000060,0.0000081,0.0000042
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924804,-0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.7650000,0.0517176,-0.0742235,0.0405125
MsgID.LOCAL_VELOCITY,21.7650000,0.0000061,-0.0000132,0.0000135
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924788,-0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.0150000,-0.1252943,-0.1617166,0.0102735
MsgID.LOCAL_VELOCITY,22.0150000,-0.0000114,0.0000044,0.0000065
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924790,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.2650000,-0.1048083,-0.1360137,-0.0176280
MsgID.LOCAL_VELOCITY,22.2650000,0.0000260,-0.0000028,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924804,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.5150000,0.0479584,0.0878998,-0.0454773
MsgID.LOCAL_VELOCITY,22.5150000,-0.0000006,-0.0000169,0.0000119
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924798,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.7660000,-0.0118599,0.1285979,-0.0628943
MsgID.LOCAL_VELOCITY,22.7660000,0.0000187,-0.0000036,0.0000220
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924805,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.0160000,0.0619291,0.1787882,-0.0733789
MsgID.LOCAL_VELOCITY,23.0160000,0.0000171,-0.0000033,0.0000212
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924812,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.2660000,0.1350040,0.1310675,-0.0747700
MsgID.LOCAL_VELOCITY,23.2660000,-0.0000302,-0.0000127,0.0000119
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924789,0.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.5160000,-0.1187543,0.0581404,-0.0697901
MsgID.LOCAL_VELOCITY,23.5160000,-0.0000157,-0.0000089,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924800,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.7660000,0.0054427,0.0834214,-0.0627925
MsgID.LOCAL_VELOCITY,23.7660000,-0.0000124,-0.0000283,0.0000166
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924810,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.0160000,0.1219528,-0.0015982,-0.0562942
MsgID.LOCAL_VELOCITY,24.0160000,-0.0000417,-0.0000182,0.0000122
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924800,0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.2660000,0.0089639,-0.1500222,-0.0553273
MsgID.LOCAL_VELOCITY,24.2660000,0.0000048,-0.0000050,0.0000128
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924800,0.0610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.5160000,0.0007281,0.0925523,-0.0619001
MsgID.LOCAL_VELOCITY,24.5160000,0.0000129,0.0000042,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924797,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.7670000,-0.0307876,0.0240346,-0.0740926
MsgID.LOCAL_VELOCITY,24.7670000,-0.0000069,-0.0000221,0.0000181
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924789,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.0170000,-0.1152758,-0.1399627,-0.0930527
MsgID.LOCAL_VELOCITY,25.0170000,0.0000038,-0.0000142,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924797,0.1110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.2670000,-0.0279733,-0.1385856,-0.1119301
MsgID.LOCAL_VELOCITY,25.2670000,-0.0000138,0.0000039,0.0000113
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7924791,0.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.5170000,-0.0905486,-0.1711515,-0.1347030
MsgID.LOCAL_VELOCITY,25.5170000,0.0000019,-0.0000416,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924787,0.1550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.7670000,-0.1364832,-0.0126684,-0.1554877
MsgID.LOCAL_VELOCITY,25.7670000,0.0000081,0.0000005,0.0000207
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924799,0.1790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.0180000,-0.0058918,0.0713809,-0.1794533
MsgID.LOCAL_VELOCITY,26.0180000,-0.0000183,-0.0000186,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924799,0.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.2680000,-0.0002199,0.0755599,-0.2001577
MsgID.LOCAL_VELOCITY,26.2680000,-0.0000042,-0.0000054,0.0000219
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924804,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.5180000,0.0507511,-0.1247964,-0.2223896
MsgID.LOCAL_VELOCITY,26.5180000,0.0000319,-0.0000309,0.0000222
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924813,0.2390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.7680000,0.1519363,-0.1612179,-0.2396246
